3 38
7.300000 2.240000 6.930000
6.840000 2.640000 6.000000
7.720000 2.640000 8.160000
6.160000 2.640000 6.600000
8.240000 2.640000 8.000000
6.320000 3.040000 5.600000
7.880000 3.040000 8.800000
5.840000 3.040000 6.320000
8.480000 3.040000 8.600000
6.200000 3.440000 5.680000
8.120000 3.440000 9.120000
5.920000 3.440000 5.920000
8.640000 3.440000 8.040000
8.040000 3.840000 8.000000
8.320000 3.840000 9.440000
7.200000 3.840000 8.560000
8.800000 3.840000 8.320000
8.240000 4.240000 8.080000
8.480000 4.240000 9.520000
7.360000 4.240000 8.720000
8.800000 4.240000 8.480000
8.320000 4.640000 8.080000
8.400000 4.640000 9.440000
7.440000 4.640000 8.720000
8.880000 4.640000 8.400000
8.080000 5.040000 7.920000
8.320000 5.040000 9.200000
7.520000 5.040000 8.480000
8.800000 5.040000 8.320000
8.000000 5.440000 7.760000
8.240000 5.440000 8.880000
7.520000 5.440000 8.080000
8.640000 5.440000 8.080000
7.520000 5.840000 7.280000
8.280000 5.840000 8.320000
7.440000 5.840000 7.360000
8.320000 5.840000 7.960000
7.380000 6.240000 7.040000
