3 38
-0.493434 -1.648145 -0.991472
-0.733434 -1.248145 -1.631472
0.066566 -1.248145 0.288528
-1.373434 -1.248145 -1.151472
0.546566 -1.248145 -0.071472
-1.213434 -0.848145 -2.031472
0.146566 -0.848145 0.928528
-1.613434 -0.848145 -1.391472
0.786566 -0.848145 0.568528
-1.373434 -0.368145 -1.871472
0.506566 -0.368145 1.328528
-1.613434 -0.368145 -1.711472
1.026566 -0.368145 0.968528
0.786566 0.031855 0.048528
0.586566 0.031855 1.488528
-0.413434 0.031855 0.808528
1.186566 0.031855 0.528528
0.826566 0.431855 0.208528
0.666566 0.431855 1.648528
-0.253434 0.431855 1.008528
1.186566 0.431855 0.608528
0.746566 0.831855 0.128528
0.626566 0.831855 1.648528
-0.173434 0.831855 0.928528
1.186566 0.831855 0.448528
0.746566 1.231855 -0.031472
0.706566 1.231855 1.488528
-0.173434 1.231855 0.648528
1.106566 1.231855 0.368528
0.466566 1.711855 -0.111472
0.666566 1.711855 1.168528
-0.173434 1.711855 0.048528
1.026566 1.711855 0.208528
0.066566 2.111855 -0.431472
0.546566 2.111855 0.768528
-0.253434 2.111855 -0.311472
0.626566 2.111855 0.248528
-0.373434 2.511855 -0.581472
