3 38
7.190000 2.080000 6.700000
6.800000 2.480000 5.760000
7.760000 2.480000 8.000000
6.160000 2.480000 6.360000
8.240000 2.480000 7.760000
6.440000 2.880000 5.520000
7.920000 2.880000 8.640000
6.080000 2.880000 6.000000
8.560000 2.880000 8.360000
6.440000 3.360000 5.840000
8.320000 3.360000 9.040000
6.080000 3.360000 5.920000
8.720000 3.360000 8.280000
8.520000 3.760000 7.680000
8.400000 3.760000 9.280000
7.440000 3.760000 8.480000
8.880000 3.760000 8.040000
8.880000 4.160000 7.840000
8.440000 4.160000 9.360000
7.600000 4.160000 8.680000
8.960000 4.160000 8.200000
8.640000 4.560000 7.760000
8.480000 4.560000 9.280000
7.680000 4.560000 8.600000
8.960000 4.560000 8.160000
8.600000 4.960000 7.680000
8.480000 4.960000 9.120000
7.760000 4.960000 8.240000
8.960000 4.960000 8.000000
8.400000 5.440000 7.520000
8.440000 5.440000 8.800000
7.760000 5.440000 7.760000
8.960000 5.440000 7.880000
7.840000 5.840000 7.120000
8.480000 5.840000 8.320000
7.680000 5.840000 7.200000
8.560000 5.840000 7.880000
7.630000 6.240000 6.930000
