3 38
7.800000 2.240000 6.840000
7.320000 2.640000 6.000000
8.280000 2.640000 8.160000
6.720000 2.640000 6.560000
8.800000 2.640000 7.640000
7.000000 3.040000 5.600000
8.480000 3.040000 8.640000
6.480000 3.040000 6.120000
9.040000 3.040000 8.160000
6.920000 3.440000 5.840000
8.320000 3.440000 8.880000
6.640000 3.440000 6.040000
9.120000 3.440000 8.560000
8.840000 3.840000 7.600000
8.400000 3.840000 9.120000
7.680000 3.840000 8.440000
9.120000 3.840000 7.840000
8.720000 4.240000 7.760000
8.600000 4.240000 9.200000
7.760000 4.240000 8.600000
9.120000 4.240000 8.000000
8.680000 4.640000 7.760000
8.560000 4.640000 9.200000
7.680000 4.640000 8.720000
9.040000 4.640000 8.120000
8.560000 5.040000 7.600000
8.520000 5.040000 9.040000
7.680000 5.040000 8.240000
8.960000 5.040000 8.040000
8.160000 5.440000 7.520000
8.360000 5.440000 8.880000
7.600000 5.440000 7.840000
8.880000 5.440000 7.920000
7.600000 5.840000 7.120000
8.520000 5.840000 8.480000
7.440000 5.840000 7.200000
8.640000 5.840000 7.760000
7.500000 6.240000 7.010000
