3 38
7.270000 2.160000 6.930000
6.800000 2.560000 6.080000
7.960000 2.560000 8.320000
6.240000 2.560000 6.800000
8.480000 2.560000 8.080000
6.600000 2.960000 5.680000
8.280000 2.960000 8.800000
5.920000 2.960000 6.240000
8.800000 2.960000 8.640000
6.240000 3.360000 5.840000
8.400000 3.360000 9.200000
6.000000 3.360000 5.920000
8.880000 3.360000 8.480000
8.400000 3.760000 8.000000
8.640000 3.760000 9.440000
7.440000 3.760000 8.640000
9.040000 3.760000 8.360000
8.680000 4.160000 8.080000
8.680000 4.160000 9.600000
7.680000 4.160000 8.840000
9.120000 4.160000 8.880000
8.600000 4.560000 8.000000
8.800000 4.560000 9.600000
7.760000 4.560000 8.680000
9.280000 4.560000 8.520000
8.560000 4.960000 7.920000
8.800000 4.960000 9.360000
7.920000 4.960000 8.400000
9.280000 4.960000 8.440000
8.400000 5.360000 7.680000
8.840000 5.360000 9.040000
7.920000 5.360000 7.880000
9.040000 5.360000 8.440000
8.120000 5.760000 7.280000
8.480000 5.760000 7.920000
7.840000 5.760000 7.360000
8.720000 5.760000 7.600000
7.830000 6.160000 7.090000
