3 38
7.280000 2.080000 6.560000
7.040000 2.480000 5.920000
7.840000 2.480000 7.840000
6.400000 2.480000 6.400000
8.320000 2.480000 7.480000
6.560000 2.880000 5.520000
7.920000 2.880000 8.480000
6.160000 2.880000 6.160000
8.560000 2.880000 8.120000
6.400000 3.360000 5.680000
8.280000 3.360000 8.880000
6.160000 3.360000 5.840000
8.800000 3.360000 8.520000
8.560000 3.760000 7.600000
8.360000 3.760000 9.040000
7.360000 3.760000 8.360000
8.960000 3.760000 8.080000
8.600000 4.160000 7.760000
8.440000 4.160000 9.200000
7.520000 4.160000 8.560000
8.960000 4.160000 8.160000
8.520000 4.560000 7.680000
8.400000 4.560000 9.200000
7.600000 4.560000 8.480000
8.960000 4.560000 8.000000
8.520000 4.960000 7.520000
8.480000 4.960000 9.040000
7.600000 4.960000 8.200000
8.880000 4.960000 7.920000
8.240000 5.440000 7.440000
8.440000 5.440000 8.720000
7.600000 5.440000 7.600000
8.800000 5.440000 7.760000
7.840000 5.840000 7.120000
8.320000 5.840000 8.320000
7.520000 5.840000 7.240000
8.400000 5.840000 7.800000
7.400000 6.240000 6.970000
