3 38
9.820000 2.000000 6.840000
9.440000 2.400000 6.080000
10.280000 2.400000 8.080000
8.720000 2.400000 6.600000
10.800000 2.400000 7.680000
9.400000 2.800000 5.680000
10.400000 2.800000 8.560000
8.480000 2.800000 6.360000
11.040000 2.800000 8.280000
8.880000 3.280000 5.680000
10.760000 3.280000 9.040000
8.480000 3.280000 6.040000
11.120000 3.280000 8.680000
11.000000 3.680000 7.680000
10.800000 3.680000 9.200000
9.760000 3.680000 8.480000
11.200000 3.680000 8.080000
10.840000 4.080000 7.840000
10.680000 4.080000 9.280000
9.840000 4.080000 8.600000
11.200000 4.080000 8.160000
10.840000 4.480000 7.760000
10.720000 4.480000 9.200000
9.920000 4.480000 8.480000
11.200000 4.480000 8.040000
10.720000 4.880000 7.680000
10.640000 4.880000 8.960000
9.920000 4.880000 8.240000
11.200000 4.880000 8.040000
10.320000 5.360000 7.520000
10.640000 5.360000 8.720000
9.920000 5.360000 7.720000
11.040000 5.360000 7.920000
9.880000 5.760000 7.200000
10.560000 5.760000 8.160000
9.760000 5.760000 7.240000
10.640000 5.760000 7.840000
9.680000 6.160000 7.000000
