3 38
8.320000 2.080000 6.680000
8.040000 2.480000 5.920000
8.880000 2.480000 8.000000
7.440000 2.480000 6.440000
9.520000 2.480000 7.680000
7.480000 2.960000 5.520000
9.240000 2.960000 8.640000
7.040000 2.960000 6.040000
9.760000 2.960000 8.320000
7.520000 3.360000 5.760000
9.360000 3.360000 8.960000
7.120000 3.360000 5.960000
9.920000 3.360000 8.680000
9.720000 3.760000 7.680000
9.440000 3.760000 9.200000
8.480000 3.760000 8.400000
10.000000 3.760000 7.960000
9.760000 4.240000 7.760000
9.600000 4.240000 9.280000
8.640000 4.240000 8.480000
10.000000 4.240000 8.040000
9.640000 4.640000 7.680000
9.520000 4.640000 9.200000
8.720000 4.640000 8.440000
10.080000 4.640000 8.280000
9.520000 5.040000 7.600000
9.480000 5.040000 8.960000
8.640000 5.040000 8.120000
10.000000 5.040000 7.960000
9.320000 5.440000 7.440000
9.520000 5.440000 8.640000
8.640000 5.440000 7.800000
9.920000 5.440000 7.840000
8.800000 5.920000 7.040000
9.600000 5.920000 8.160000
8.480000 5.920000 7.120000
9.600000 5.920000 8.080000
8.440000 6.320000 6.840000
