3 38
7.400000 1.920000 6.680000
7.120000 2.400000 5.840000
8.040000 2.400000 8.080000
6.400000 2.400000 6.520000
8.560000 2.400000 7.840000
6.480000 2.800000 5.520000
8.320000 2.800000 8.560000
6.160000 2.800000 6.080000
8.960000 2.800000 8.400000
6.480000 3.280000 5.840000
8.720000 3.280000 8.960000
6.320000 3.280000 5.920000
9.120000 3.280000 8.680000
8.760000 3.680000 7.760000
8.880000 3.680000 9.200000
7.760000 3.680000 8.360000
9.200000 3.680000 8.520000
8.960000 4.160000 7.840000
8.840000 4.160000 9.360000
8.000000 4.160000 8.480000
9.280000 4.160000 8.600000
9.040000 4.560000 7.680000
9.000000 4.560000 9.280000
8.080000 4.560000 8.440000
9.360000 4.560000 8.160000
9.000000 5.040000 7.520000
9.040000 5.040000 9.040000
8.160000 5.040000 8.280000
9.360000 5.040000 7.840000
8.960000 5.440000 7.280000
9.040000 5.440000 8.720000
8.240000 5.440000 7.760000
9.360000 5.440000 7.680000
8.480000 5.920000 6.880000
9.200000 5.920000 8.160000
8.160000 5.920000 7.000000
9.200000 5.920000 7.960000
8.150000 6.320000 6.830000
