3 38
-0.695180 -1.773994 -0.968004
-0.975180 -1.293994 -1.808004
-0.055180 -1.293994 0.431996
-1.695180 -1.293994 -1.128004
0.464820 -1.293994 0.191996
-1.615180 -0.893994 -2.128004
0.224820 -0.893994 0.911996
-1.935180 -0.893994 -1.568004
0.864820 -0.893994 0.751996
-1.615180 -0.413994 -1.808004
0.624820 -0.413994 1.311996
-1.775180 -0.413994 -1.728004
1.024820 -0.413994 1.031996
0.664820 -0.013994 0.111996
0.784820 -0.013994 1.551996
-0.335180 -0.013994 0.711996
1.104820 -0.013994 0.871996
0.864820 0.466006 0.191996
0.744820 0.466006 1.711996
-0.095180 0.466006 0.831996
1.184820 0.466006 0.951996
0.944820 0.866006 0.031996
0.904820 0.866006 1.631996
-0.015180 0.866006 0.791996
1.264820 0.866006 0.511996
0.904820 1.346006 -0.128004
0.944820 1.346006 1.391996
0.064820 1.346006 0.631996
1.264820 1.346006 0.191996
0.864820 1.746006 -0.368004
0.944820 1.746006 1.071996
0.144820 1.746006 0.111996
1.264820 1.746006 0.031996
0.384820 2.226006 -0.768004
1.104820 2.226006 0.511996
0.064820 2.226006 -0.648004
1.104820 2.226006 0.311996
0.054820 2.626006 -0.818004
