3 38
8.090000 2.240000 6.800000
7.640000 2.640000 6.000000
8.600000 2.640000 8.000000
6.880000 2.640000 6.520000
9.440000 2.640000 7.840000
7.080000 3.040000 5.680000
8.880000 3.040000 8.560000
6.640000 3.040000 6.120000
9.760000 3.040000 8.320000
6.960000 3.360000 5.680000
9.040000 3.360000 8.800000
6.640000 3.360000 5.880000
9.760000 3.360000 8.200000
9.200000 3.760000 7.600000
9.120000 3.760000 9.040000
8.080000 3.760000 8.320000
9.840000 3.760000 8.760000
9.320000 4.160000 7.760000
9.320000 4.160000 9.120000
8.160000 4.160000 8.480000
9.760000 4.160000 8.560000
9.160000 4.560000 7.600000
8.960000 4.560000 9.040000
8.240000 4.560000 8.480000
9.760000 4.560000 8.160000
9.040000 4.960000 7.600000
9.200000 4.960000 8.720000
8.320000 4.960000 8.160000
9.680000 4.960000 8.000000
8.760000 5.280000 7.440000
9.120000 5.280000 8.480000
8.320000 5.280000 7.800000
9.600000 5.280000 7.800000
8.440000 5.680000 6.960000
9.160000 5.680000 8.160000
8.080000 5.680000 7.080000
9.280000 5.680000 7.960000
8.000000 6.080000 6.760000
