3 38
-0.260858 -1.607456 -0.776994
-0.640858 -1.207456 -1.536994
0.199142 -1.207456 0.463006
-1.360858 -1.207456 -1.016994
0.719142 -1.207456 0.063006
-0.680858 -0.807456 -1.936994
0.319142 -0.807456 0.943006
-1.600858 -0.807456 -1.256994
0.959142 -0.807456 0.663006
-1.200858 -0.327456 -1.936994
0.679142 -0.327456 1.423006
-1.600858 -0.327456 -1.576994
1.039142 -0.327456 1.063006
0.919142 0.072544 0.063006
0.719142 0.072544 1.583006
-0.320858 0.072544 0.863006
1.119142 0.072544 0.463006
0.759142 0.472544 0.223006
0.599142 0.472544 1.663006
-0.240858 0.472544 0.983006
1.119142 0.472544 0.543006
0.759142 0.872544 0.143006
0.639142 0.872544 1.583006
-0.160858 0.872544 0.863006
1.119142 0.872544 0.423006
0.639142 1.272544 0.063006
0.559142 1.272544 1.343006
-0.160858 1.272544 0.623006
1.119142 1.272544 0.423006
0.239142 1.752544 -0.096994
0.559142 1.752544 1.103006
-0.160858 1.752544 0.103006
0.959142 1.752544 0.303006
-0.200858 2.152544 -0.416994
0.479142 2.152544 0.543006
-0.320858 2.152544 -0.376994
0.559142 2.152544 0.223006
-0.400858 2.552544 -0.616994
