3 38
-0.527119 -1.700329 -0.941700
-0.807119 -1.300329 -1.701700
0.032881 -1.300329 0.378300
-1.407119 -1.300329 -1.181700
0.672881 -1.300329 0.058300
-1.367119 -0.820329 -2.101700
0.392881 -0.820329 1.018300
-1.807119 -0.820329 -1.581700
0.912881 -0.820329 0.698300
-1.327119 -0.420329 -1.861700
0.512881 -0.420329 1.338300
-1.727119 -0.420329 -1.661700
1.072881 -0.420329 1.058300
0.872881 -0.020329 0.058300
0.592881 -0.020329 1.578300
-0.367119 -0.020329 0.778300
1.152881 -0.020329 0.338300
0.912881 0.459671 0.138300
0.752881 0.459671 1.658300
-0.207119 0.459671 0.858300
1.152881 0.459671 0.418300
0.792881 0.859671 0.058300
0.672881 0.859671 1.578300
-0.127119 0.859671 0.818300
1.232881 0.859671 0.658300
0.672881 1.259671 -0.021700
0.632881 1.259671 1.338300
-0.207119 1.259671 0.498300
1.152881 1.259671 0.338300
0.472881 1.659671 -0.181700
0.672881 1.659671 1.018300
-0.207119 1.659671 0.178300
1.072881 1.659671 0.218300
-0.047119 2.139671 -0.581700
0.752881 2.139671 0.538300
-0.367119 2.139671 -0.501700
0.752881 2.139671 0.458300
-0.407119 2.539671 -0.781700
