3 38
-0.283120 -1.540148 -0.820901
-0.743120 -1.140148 -1.750901
0.136880 -1.140148 0.409099
-1.423120 -1.140148 -1.150901
0.656880 -1.140148 0.249099
-1.263120 -0.740148 -2.150901
0.296880 -0.740148 1.049099
-1.743120 -0.740148 -1.430901
0.896880 -0.740148 0.849099
-1.383120 -0.340148 -2.070901
0.536880 -0.340148 1.369099
-1.663120 -0.340148 -1.830901
1.056880 -0.340148 0.289099
0.456880 0.059852 0.249099
0.736880 0.059852 1.689099
-0.383120 0.059852 0.809099
1.216880 0.059852 0.569099
0.656880 0.459852 0.329099
0.896880 0.459852 1.769099
-0.223120 0.459852 0.969099
1.216880 0.459852 0.729099
0.736880 0.859852 0.329099
0.816880 0.859852 1.689099
-0.143120 0.859852 0.969099
1.296880 0.859852 0.649099
0.496880 1.259852 0.169099
0.736880 1.259852 1.449099
-0.063120 1.259852 0.729099
1.216880 1.259852 0.569099
0.416880 1.659852 0.009099
0.656880 1.659852 1.129099
-0.063120 1.659852 0.329099
1.056880 1.659852 0.329099
-0.063120 2.059852 -0.470901
0.696880 2.059852 0.569099
-0.143120 2.059852 -0.390901
0.736880 2.059852 0.209099
-0.203120 2.459852 -0.710901
