3 38
-0.601618 -1.545930 -0.930123
-1.071618 -1.145930 -1.780123
0.088382 -1.145930 0.459877
-1.631618 -1.145930 -1.060123
0.608382 -1.145930 0.219877
-1.271618 -0.745930 -2.180123
0.408382 -0.745930 0.939877
-1.951618 -0.745930 -1.620123
0.928382 -0.745930 0.779877
-1.631618 -0.345930 -2.020123
0.528382 -0.345930 1.339877
-1.871618 -0.345930 -1.940123
1.008382 -0.345930 0.619877
0.528382 0.054070 0.139877
0.768382 0.054070 1.579877
-0.431618 0.054070 0.779877
1.168382 0.054070 0.499877
0.808382 0.454070 0.219877
0.808382 0.454070 1.739877
-0.191618 0.454070 0.979877
1.248382 0.454070 1.019877
0.728382 0.854070 0.139877
0.928382 0.854070 1.739877
-0.111618 0.854070 0.819877
1.408382 0.854070 0.659877
0.688382 1.254070 0.059877
0.928382 1.254070 1.499877
0.048382 1.254070 0.539877
1.408382 1.254070 0.579877
0.528382 1.654070 -0.180123
0.968382 1.654070 1.179877
0.048382 1.654070 0.019877
1.168382 1.654070 0.579877
0.248382 2.054070 -0.580123
0.608382 2.054070 0.059877
-0.031618 2.054070 -0.500123
0.848382 2.054070 -0.260123
-0.041618 2.454070 -0.770123
