3 20
0.769226 -17.344087 -6.059528
0.769226 -3.344087 -5.889843
3.981850 -17.349084 -5.617031
-1.695274 -17.345086 -5.950779
-5.702621 -17.406083 -0.942653
-5.201713 -17.463090 3.731716
-0.359436 -17.469087 4.234219
5.801537 -17.376085 -3.422344
1.559067 -12.640085 -8.820469
-3.289779 -12.642084 -8.617969
-8.138717 -12.733087 -1.143284
-5.714340 -12.782091 2.897343
1.559067 -12.777086 2.492344
6.408097 -12.701089 -3.770153
2.979660 -7.953081 -10.178905
-1.194275 -7.950090 -10.345783
-3.865867 -8.011094 -5.335781
-0.526497 -8.070085 -0.494533
4.649346 -8.072084 -0.327656
6.987473 -8.013093 -5.168903
