3 20
0.018869 -17.874966 -3.995635
-0.141439 -3.874966 -5.764709
3.962931 -17.685963 -2.854705
-1.968626 -17.852963 -3.639388
-6.326132 -17.306965 1.070603
-3.564253 -16.679966 5.778733
1.380121 -16.597966 5.974671
6.925432 -17.328968 -0.302825
6.286058 -13.236966 -5.405639
-0.791128 -13.376965 -5.874389
-5.189878 -12.846966 -1.285323
-3.220190 -12.128964 4.207490
4.691370 -12.137966 3.421861
9.935747 -12.763966 -2.002517
3.341372 -9.043965 -9.507201
-0.979566 -9.092968 -9.507201
-5.167379 -8.493969 -4.390334
-1.547689 -8.102963 -1.624709
4.167307 -8.089962 -2.040008
6.681681 -8.655964 -6.741576
