3 20
1.169162 -16.558569 -1.776821
0.999477 -4.558569 -3.646198
5.174160 -16.415571 -1.225574
-0.869152 -16.458571 -0.952754
-5.351811 -15.801565 3.668179
-3.126278 -15.018568 8.489743
1.953846 -14.821569 9.293179
7.457912 -15.745565 2.864743
7.282596 -12.563566 -2.989009
-0.070591 -12.689566 -3.131511
-5.851498 -11.816572 2.994115
-3.263340 -11.268568 6.271619
3.945102 -11.122572 6.557553
10.300411 -11.831572 1.427556
4.350101 -9.137571 -7.030574
0.600101 -9.146566 -6.746509
-3.828091 -8.531569 -2.399318
0.295414 -7.951567 0.947552
4.621036 -7.912565 0.805058
8.167598 -8.518568 -3.404323
