3 20
2.253883 -17.452062 -2.704362
2.995354 -2.452062 -8.450303
6.834885 -17.657865 -2.649987
-1.744087 -17.345464 -2.941552
-6.198525 -15.785062 0.556258
-3.468712 -14.300664 4.783446
2.307037 -14.418661 5.221259
9.550819 -16.451864 0.847823
5.342384 -13.074460 -5.877801
-0.430557 -12.900663 -6.169366
-4.113800 -11.546064 -3.108422
-1.247490 -10.459264 0.098761
5.143631 -10.775060 0.098761
8.663010 -12.289258 -3.399987
4.025291 -8.108861 -8.084680
0.596008 -7.939260 -8.084680
-2.485832 -7.061063 -6.189988
0.353012 -6.531263 -4.440614
5.029259 -6.762464 -4.440614
8.420197 -7.711866 -6.481553
