3 38
3.362480 -9.452062 5.264388
0.515106 21.547938 -4.091867
2.411575 -7.494459 0.745635
-3.571083 -6.946264 4.383140
2.244980 -5.680463 6.807509
7.796761 -6.146062 3.575011
-0.340088 -4.813260 -0.826554
-6.790550 -3.906461 4.141265
0.316071 -2.504064 6.625640
7.511757 -3.046064 2.639388
-0.647583 -1.465459 -0.934365
-8.261208 -0.498861 4.585639
0.303131 0.787539 6.242202
9.344574 0.035334 0.997825
-0.381050 1.934939 -1.042176
-8.810211 2.326937 2.822196
-1.424118 3.838336 5.582198
8.198944 3.056140 0.062201
-3.022461 5.484934 0.230948
-9.094925 5.426936 1.886573
-3.174240 7.136935 5.750953
3.238350 6.642939 2.163138
-3.307175 8.584941 -0.704675
-8.526238 8.688540 1.227515
-3.458962 10.236941 4.815322
2.953636 9.742938 1.227515
-3.591896 11.684939 -1.640298
-8.810959 11.788539 0.291884
-3.743675 13.336939 3.879699
2.668915 12.842936 0.291884
-3.876709 14.784938 -2.575929
-7.396462 15.294535 0.184073
-2.865242 16.377139 2.391883
3.237602 16.104739 -0.368112
-2.741585 18.181941 -2.959367
-5.090675 18.549136 -1.027177
-2.266182 19.308337 0.628447
5.263634 19.250338 -1.855928
