3 38
2.766680 -12.874966 5.969041
6.445437 24.125034 -6.684386
2.323244 -10.007969 2.029679
-4.702375 -8.628964 4.015290
1.128870 -7.895970 7.851548
6.024492 -9.515965 4.543107
0.856997 -6.395970 -0.030013
-6.676939 -4.467968 3.410615
1.125124 -3.704968 7.908738
7.690432 -6.894963 0.498734
-0.610189 -2.783963 -2.089706
-9.472189 -0.089962 3.202485
-1.984564 0.343036 6.643113
7.146685 -2.467968 1.086549
-2.462690 1.184032 -3.223144
-9.817564 3.501033 1.407166
-1.617063 4.044033 5.378419
5.037310 1.751033 0.614045
-2.378317 6.272037 -0.519393
-9.723349 7.275036 0.274674
-2.644567 7.839031 3.978730
3.977930 6.637035 2.391541
-2.231131 10.585041 -0.065642
-10.414663 11.625034 0.596238
-2.088629 12.020038 4.168107
4.336992 10.248035 0.860612
-2.545195 14.490039 -0.934707
-9.046286 15.499027 0.123734
-1.720190 15.721027 2.902482
5.274492 14.029041 -0.007522
-1.078001 17.946033 -2.597823
-4.918943 18.872028 -1.009704
-1.352690 19.422031 1.635926
6.606684 17.543033 -1.539397
0.680742 21.509037 -3.862517
-2.451445 22.500034 -1.877822
0.428560 23.210041 1.032166
9.591684 20.713031 -3.598144
