3 38
2.654383 -11.671586 9.152845
2.484698 23.328414 -11.086840
1.489070 -9.433587 4.964094
-4.859395 -8.627587 6.408781
0.471881 -6.343583 10.309721
4.987818 -7.993585 7.420347
-0.693433 -7.033586 1.063154
-8.381208 -5.397584 3.953466
-0.878957 -3.186585 7.709097
6.644381 -5.324586 3.953466
-0.710302 -3.535584 -0.959971
-10.405271 -1.156587 3.230657
-1.901304 1.059417 6.987219
7.631571 -2.407578 0.918783
-2.233930 0.791411 -1.537470
-10.425146 2.926421 2.219091
-2.585302 4.386413 4.675344
5.942195 1.584411 -0.237154
-3.426801 5.789413 -0.959971
-10.278432 7.094420 1.352842
-3.607183 8.549407 3.809095
4.250010 6.328414 -0.092783
-3.613553 9.872420 -1.970591
-10.130399 11.011413 0.052534
-3.624151 12.047408 1.785970
3.898448 10.159408 -1.537470
-2.464277 13.877410 -3.125590
-8.981115 15.016418 -1.103403
-3.142270 15.965407 0.486593
5.048754 13.913421 -3.125590
-1.814680 17.629409 -4.715594
-6.994649 18.524413 -3.125590
-1.991025 19.552413 -1.392153
5.698443 17.582412 -4.859965
-0.492803 20.464416 -7.894655
-5.342115 22.030410 -5.148714
-0.670926 22.722411 -3.992777
6.684695 20.917419 -7.171847
