3 20
3.002135 -15.533189 -3.031342
3.191512 -3.533189 -4.480721
5.745261 -15.435189 -1.863220
-0.085619 -15.452188 -2.766968
-5.491144 -14.838189 1.600845
-3.145052 -14.225190 6.980217
4.020262 -14.292192 7.364593
9.283385 -15.059190 1.712410
8.321509 -11.754190 -4.654152
2.230574 -11.691186 -4.929779
-4.416582 -11.099191 -0.897591
-1.150987 -10.605188 3.613655
5.626196 -10.736192 3.420532
11.149008 -11.332193 -0.786026
5.445258 -8.121186 -8.547592
0.369635 -8.067186 -8.771652
-3.714677 -7.377191 -3.598526
0.553381 -6.910188 0.823662
6.749319 -7.055192 0.439285
9.175574 -7.638192 -4.068215
