3 38
3.268222 -10.558569 9.067242
3.917911 21.441431 -11.821193
2.206035 -8.321569 5.470051
-3.613682 -7.106566 7.147244
0.935726 -5.098570 10.362866
6.071346 -7.120565 7.427556
0.406971 -6.453566 1.284115
-8.576809 -4.809568 3.520993
-0.501561 -1.867567 8.275052
9.300098 -4.350569 4.779118
-0.527432 -3.142569 -0.664943
-9.340870 -1.318571 1.852238
-1.612492 0.990427 5.625676
6.677913 -1.918570 1.432240
-2.120617 0.639429 -1.914630
-9.275898 1.881433 -0.236507
-3.044247 4.495432 3.956929
3.417286 1.988428 0.322240
-3.190686 5.506433 -1.487132
-9.201649 5.537424 -1.626819
-4.312779 7.813425 2.007870
3.354473 7.109430 1.169743
-3.789654 8.903437 -3.296504
-8.116589 9.630426 -2.317760
-4.904339 11.574427 0.757245
3.419162 10.309427 -0.919010
-3.044056 12.728434 -4.406505
-8.038685 13.469431 -3.427760
-3.661679 15.207437 -0.632137
5.162914 13.932428 -2.309322
-1.818089 15.539438 -7.054942
-6.302716 16.727426 -5.376819
-1.929463 18.282434 -2.861507
8.225727 16.796427 -4.818073
0.752910 18.779428 -9.004009
-3.068150 19.771433 -7.605258
-0.032055 21.262430 -5.228694
8.951351 19.618433 -7.465572
