3 38
3.076948 -13.467396 8.155454
2.917105 23.532604 -9.125476
1.436980 -10.869396 4.084836
-4.637552 -10.077397 5.834210
1.425543 -8.239399 9.709836
7.641638 -9.849400 6.209210
1.009573 -7.755398 1.106397
-7.413583 -6.272396 4.356710
0.580199 -4.191395 8.732022
9.972731 -6.547398 3.606710
-0.662180 -4.061398 -0.622355
-10.327898 -2.408390 3.002957
-0.678774 -0.204396 7.627652
9.678351 -2.205403 3.254209
-1.785677 0.510601 -0.475169
-10.895738 1.289608 1.275144
-1.937181 3.607601 6.149205
8.558043 1.490597 1.524518
-4.981050 5.541607 0.671399
-11.053056 5.748607 1.172017
-5.401804 7.117611 4.046399
4.948294 6.753597 3.171704
-4.307367 9.302608 -0.931727
-10.795145 9.917599 0.443585
-4.866396 10.936611 2.567960
4.381857 10.100597 0.692960
-4.323396 13.003597 -2.659541
-10.674867 14.028606 -0.408603
-4.607927 14.989605 1.591085
4.505415 13.450603 -1.783915
-3.650179 16.882610 -4.013293
-9.450304 18.025600 -1.512980
-3.381868 18.636608 -0.262355
5.317290 17.154598 -3.512668
-1.595369 20.299602 -6.366420
-5.326242 21.569607 -3.616733
-1.051050 22.054607 -2.616420
7.924292 20.515606 -5.991420
