3 38
2.322447 -11.533189 9.142097
1.003386 22.466811 -9.618218
1.459944 -9.682191 4.509910
-3.590273 -8.941186 6.207718
0.660262 -6.735192 9.902405
4.704634 -8.012185 7.305534
1.017447 -7.120187 1.134910
-5.186365 -6.038194 3.532097
-0.045305 -3.246186 8.224281
8.608382 -5.667192 3.232094
-0.139612 -3.759187 -0.741966
-7.466364 -3.161195 0.856468
-0.985612 0.399810 6.847099
7.071822 -1.383195 3.053032
-0.953081 -0.439195 -2.718216
-9.902834 0.812804 0.178657
-2.470056 3.362807 4.272720
5.456511 2.015807 1.275535
-3.432397 4.635817 -1.399155
-10.989206 5.279815 0.298660
-3.969301 6.710814 2.394905
3.576819 6.341811 1.196785
-4.050020 8.789809 -1.878220
-10.570612 9.198806 -0.680092
-4.251581 11.042815 2.215843
3.444632 9.742812 -0.680092
-4.087427 12.690810 -2.856026
-10.044580 13.287810 -1.357903
-4.288896 14.944808 1.237099
5.589636 13.287810 -2.455719
-4.227769 16.312804 -4.332588
-8.826303 17.181807 -2.436028
-4.420801 18.345809 -0.638840
6.822447 16.796813 -4.233215
-2.988306 19.656813 -6.410095
-7.593118 20.691817 -4.213532
-2.964021 21.973815 -2.215714
8.846510 20.502806 -5.711655
