3 38
2.204455 -11.876937 7.328763
3.293825 24.123063 -7.223117
0.616327 -9.592940 2.489392
-6.065420 -8.656936 4.302518
0.539454 -7.494933 7.670941
6.513201 -8.723937 5.079694
-0.818983 -6.206939 0.385632
-8.467199 -4.874938 3.105328
-1.285856 -3.152938 7.898755
7.863207 -5.683936 2.328137
-1.411482 -2.689941 -1.329990
-9.192922 -1.143935 1.909070
-1.177107 0.448060 6.441891
7.971956 -2.082938 0.873135
-1.437734 1.073060 -2.396869
-9.356985 2.676064 0.971570
-2.188673 3.979066 4.728131
5.985392 1.530061 -0.713107
-3.525076 5.999062 -0.743121
-9.514578 6.705064 0.551572
-3.041143 8.134065 4.566891
2.088206 6.720063 1.459073
-3.262205 10.068063 -1.033740
-8.689955 10.861062 0.520642
-3.340109 12.114060 4.018445
2.196955 10.322060 0.003140
-3.565954 13.891068 -1.971240
-7.179640 14.577058 -0.547183
-2.669607 15.803056 2.821256
3.415705 13.627061 -2.101550
-3.457014 17.493058 -3.427173
-5.669233 18.293061 -1.613116
-2.559919 19.405061 1.365323
4.367266 17.360063 -3.167491
-1.118048 20.869065 -5.271236
-4.863546 21.821061 -3.198428
-0.785230 22.641068 -0.867801
5.731325 20.871064 -4.753741
