3 20
1.205004 -17.671586 -2.880907
1.614695 -4.671586 -5.539652
5.725634 -17.713586 -2.388720
-2.093870 -17.371583 -1.925593
-5.878271 -16.312585 2.664404
-1.185056 -15.085587 9.381597
5.334696 -15.291589 9.381597
9.963130 -17.081590 1.351904
8.458445 -13.742585 -4.634966
0.538447 -13.488587 -4.613405
-5.278554 -12.231584 0.630033
-2.905462 -11.266587 5.709409
5.452822 -11.563584 5.546285
11.597193 -13.032586 -0.681528
4.749697 -10.092584 -9.435908
0.316256 -9.918588 -9.269030
-2.825963 -8.745583 -4.025591
0.373446 -8.108582 -0.420908
6.724070 -8.375588 -0.748095
9.875949 -9.246583 -4.515902
