3 20
2.723826 -17.876937 -3.395305
1.034456 -3.876937 -5.764362
6.559145 -17.347137 -3.001552
0.562891 -18.091537 -3.120616
-3.845236 -17.876937 1.289380
-3.022581 -16.972739 6.040631
1.356020 -16.346938 6.614392
8.779139 -16.654937 -0.501239
7.350390 -12.595939 -4.273738
1.101015 -13.473937 -5.000301
-5.039984 -13.154937 1.259381
-1.478987 -12.162940 4.579068
6.851641 -11.348937 3.440945
9.823519 -11.713935 -0.832172
5.151018 -8.707938 -8.514987
1.441332 -9.236938 -8.991237
-2.158674 -8.936935 -4.652492
0.054766 -8.010940 -0.763736
6.061327 -7.204940 -0.290301
8.551333 -7.630935 -4.582179
