3 38
0.549378 -11.344087 6.203907
6.635910 22.655913 -4.330784
-0.230056 -9.100084 0.625782
-7.115242 -6.842088 3.924847
-0.146995 -7.068086 7.223904
4.965287 -9.048089 3.792660
-0.100212 -6.024080 -1.747028
-8.958465 -3.045091 2.740780
0.461533 -3.669084 6.171093
8.075913 -6.548082 1.288594
-1.507682 -2.141084 -2.403278
-9.822746 0.740920 2.082653
-1.210495 0.302916 5.646092
6.118409 -2.607087 0.500157
-1.757621 1.943907 -1.742344
-9.293716 4.481917 2.084530
-1.567871 4.570906 6.836720
4.575287 1.299910 -0.157970
-2.837524 6.873915 1.164845
-8.213806 8.164916 2.219532
-1.888588 8.258910 6.178593
5.325287 5.492919 1.428280
-3.008339 10.616912 0.772030
-6.690651 11.972914 3.014530
-1.680557 11.770918 5.257969
6.105286 9.065917 1.035473
-1.449180 13.845915 -0.281719
-5.274276 15.185912 1.828594
-0.364494 15.206908 4.732029
7.536850 12.357909 0.113903
0.545815 17.159911 -0.807659
-3.944435 18.701918 1.567967
0.751877 18.309920 3.019223
9.259972 15.720915 -0.412029
3.019974 20.019911 -2.520466
-2.520744 21.954909 0.516094
3.432473 21.542906 2.626408
12.448410 18.657912 -1.463909
