3 20
2.917105 -15.467396 -4.567355
1.277975 -3.467396 -5.587352
6.194701 -14.933399 -3.561419
-0.243868 -15.814396 -3.561419
-3.452272 -15.819393 1.535771
-1.013551 -15.106396 5.999211
4.599821 -14.321392 6.201711
10.274603 -14.153393 -0.943919
4.806914 -11.350399 -7.451106
0.592856 -11.909397 -7.249545
-3.072488 -11.998394 -2.408290
-0.709520 -11.349400 1.424207
5.093039 -10.453396 2.634519
9.543356 -10.318394 -2.937976
3.866133 -7.455395 -8.396106
0.256193 -7.948399 -8.396106
-3.307893 -8.038395 -3.715167
-0.591211 -7.386395 -0.426417
4.569449 -6.621395 0.277646
8.828978 -6.399395 -3.957980
